durasi,byte_masuk,byte_keluar,jumlah_paket,serangan
2.847,781,376,13,0
1.553,1623,694,22,1
4.238,613,216,1,0
6.23,890,787,34,1
0.983,892,1096,8,0
4.048,1036,1343,16,1
5.586,1347,699,23,0
4.547,1231,1073,31,1
3.167,860,257,10,0
4.335,913,673,47,1
4.338,818,846,28,0
7.83,1513,1218,22,1
2.316,607,502,22,0
5.948,1034,1484,30,1
3.661,654,476,9,0
4.968,1190,458,32,1
1.585,885,1030,23,0
4.178,1285,1238,45,1
3.317,460,767,3,0
3.733,1551,590,37,1
1.964,510,977,3,0
5.386,714,1080,39,1
3.988,901,827,44,0
6.47,1867,905,20,1
-0.929,614,371,34,0
7.384,935,812,37,1
1.475,341,338,23,0
4.959,1256,560,42,1
2.095,316,343,14,0
4.376,1344,947,40,1
0.874,792,763,12,0
5.713,996,836,36,1
4.661,322,810,18,0
6.619,1600,1651,21,1
4.757,965,186,16,0
6.796,1359,1741,51,1
3.17,581,185,10,0
8.266,1792,888,29,1
2.165,1403,66,12,0
7.002,1010,1202,40,1
3.82,977,914,20,0
6.248,838,604,18,1
3.551,139,384,21,0
4.596,1122,729,44,1
3.732,728,482,18,0
10.093,1615,650,40,1
3.284,986,911,24,0
3.143,1017,679,32,1
3.591,838,169,13,0
3.964,960,1133,44,1
-0.459,815,253,10,0
7.465,1103,1225,29,1
2.647,344,1190,8,0
2.28,1340,1400,25,1
5.99,1287,650,14,0
4.216,1963,781,14,1
2.563,1030,911,8,0
10.106,1215,1074,42,1
2.916,1587,839,6,0
5.146,1087,1164,20,1
2.03,250,1002,22,0
6.623,1869,605,26,1
0.359,573,190,3,0
2.098,1452,1333,34,1
4.22,432,1085,31,0
6.709,1083,959,36,1
4.77,669,539,13,0
4.034,1098,525,40,1
3.981,242,518,25,0
3.986,1310,831,32,1
2.248,864,210,14,0
6.703,1084,755,43,1
4.104,113,537,21,0
5.427,1279,1165,43,1
2.41,1004,648,15,0
8.733,989,917,34,1
6.892,669,668,44,0
6.965,903,939,21,1
2.684,551,1165,24,0
4.539,1523,861,36,1
2.695,1178,927,11,0
3.737,1192,475,28,1
3.088,532,700,9,0
7.661,1048,634,37,1
4.934,1105,1576,13,0
2.671,856,696,18,1
7.126,1030,1425,35,0
1.257,1188,1269,32,1
1.239,1561,143,19,0
6.874,1340,805,13,1
2.596,921,626,18,0
-0.875,642,843,20,1
3.189,700,699,23,0
6.954,1325,1484,41,1
0.026,314,1532,33,0
7.911,1281,1054,15,1
2.692,720,412,26,0
3.584,924,1116,47,1
3.746,555,26,18,0
5.204,1014,698,34,1
4.398,1018,890,9,0
9.127,1082,778,21,1
2.787,1391,882,21,0
5.789,1018,422,30,1
5.923,653,427,15,0
6.558,1286,115,37,1
2.604,527,546,34,0
3.079,1471,767,29,1
4.311,779,1001,30,0
5.313,982,918,25,1
2.984,526,710,23,0
8.275,1072,784,19,1
3.542,730,751,17,0
3.767,936,1102,30,1
3.453,642,771,22,0
4.948,1317,422,20,1
7.457,383,101,21,0
6.884,987,1301,32,1
3.999,443,703,20,0
5.18,1243,1124,31,1
0.762,1005,243,12,0
5.447,1316,864,39,1
2.747,806,937,7,0
4.951,256,1136,32,1
2.389,711,476,0,0
6.296,1108,996,12,1
2.574,609,448,25,0
3.967,1037,454,26,1
3.319,1010,1248,23,0
6.414,1384,1105,37,1
1.282,1075,919,23,0
3.781,665,1260,5,1
0.102,438,739,22,0
5.453,1032,1027,46,1
3.699,604,695,23,0
3.157,1084,700,37,1
3.443,353,403,22,0
2.668,884,800,8,1
2.472,477,612,8,0
7.76,1364,466,17,1
1.774,715,394,11,0
4.737,69,390,19,1
2.621,234,467,24,0
5.723,1135,717,34,1
3.202,911,84,21,0
6.502,1497,806,30,1
4.43,547,591,27,0
5.669,1059,957,36,1
0.13,554,1088,9,0
5.436,1123,761,39,1
2.003,960,566,20,0
6.57,1569,1251,23,1
3.89,1082,283,16,0
5.538,1855,879,20,1
5.048,767,312,11,0
8.146,1249,1019,25,1
1.682,1182,575,18,0
6.862,1500,936,36,1
4.545,1090,546,1,0
5.441,1264,634,32,1
3.419,459,703,23,0
3.8,1204,846,28,1
0.233,1272,920,6,0
2.859,1351,1247,29,1
2.417,858,206,15,0
3.241,888,822,24,1
1.149,913,779,17,0
5.694,1353,972,25,1
2.923,329,551,19,0
7.357,1531,825,26,1
2.021,711,401,23,0
5.769,1284,881,24,1
0.416,943,433,0,0
8.66,1165,1206,34,1
2.905,780,862,12,0
4.628,954,905,10,1
3.788,778,660,47,0
6.266,1122,985,27,1
1.887,807,443,7,0
7.022,917,1287,23,1
3.653,25,8,27,0
4.936,859,1147,13,1
6.562,446,560,21,0
4.367,1442,939,23,1
3.403,790,463,10,0
5.42,522,510,19,1
4.103,361,39,17,0
5.046,1575,950,34,1
3.406,1141,663,26,0
4.182,1245,1261,30,1
3.832,641,371,19,0
7.608,1180,1302,29,1
1.676,984,404,25,0
6.425,1367,690,28,1
4.724,878,1063,15,0
4.51,894,1023,40,1
0.9,965,837,28,0
4.715,1108,877,36,1
0.317,244,787,15,0
2.739,1046,261,26,1
1.384,660,259,13,0
6.198,676,1233,34,1
4.083,289,546,15,0
3.47,1353,758,33,1
3.799,1092,774,11,0
3.283,1458,466,29,1
1.991,978,866,24,0
5.209,1461,897,35,1
6.721,607,824,33,0
8.691,1815,977,28,1
1.494,1032,644,1,0
7.201,1293,601,29,1
-0.647,328,622,13,0
2.169,974,754,39,1
4.54,722,843,16,0
7.691,879,718,18,1
2.492,386,951,22,0
5.178,1253,1132,26,1
2.406,686,252,21,0
4.421,1292,1020,26,1
3.839,800,665,20,0
5.112,1171,615,28,1
-2.365,654,466,24,0
6.162,1231,1225,27,1
3.948,1096,528,15,0
1.753,1414,1119,25,1
4.278,676,536,22,0
6.089,1588,657,33,1
3.786,231,558,21,0
5.883,1364,1205,43,1
6.798,631,1102,6,0
6.241,1280,733,32,1
4.132,719,1105,21,0
4.135,1115,1460,23,1
5.899,537,728,29,0
2.791,1109,1071,28,1
1.927,507,0,20,0
8.004,1398,1225,27,1
2.631,597,902,28,0
6.372,678,751,23,1
5.125,927,713,4,0
7.35,897,1324,30,1
4.996,514,915,21,0
7.013,1142,447,26,1
1.516,536,540,21,0
4.984,1142,1367,28,1
2.4,991,1121,0,0
5.923,1325,1159,21,1
3.448,1443,746,25,0
5.184,1095,793,27,1
3.358,492,672,10,0
5.475,1125,364,39,1
3.566,414,627,26,0
5.591,1399,692,30,1
0.229,291,302,37,0
4.046,1498,897,12,1
4.881,567,107,21,0
3.613,1400,831,21,1
5.535,1454,1148,23,0
0.291,720,1062,22,1
2.051,279,700,32,0
4.755,1249,989,46,1
2.3,145,146,20,0
5.244,792,987,30,1
4.803,1274,793,31,0
5.337,1335,890,36,1
3.188,450,781,23,0
3.872,1170,877,43,1
3.708,654,324,35,0
4.383,857,446,35,1
4.375,57,982,19,0
8.687,1542,927,19,1
3.386,911,821,28,0
4.709,575,429,14,1
2.788,764,895,16,0
2.775,776,1201,29,1
1.332,810,248,17,0
3.668,523,627,32,1
6.23,967,744,14,0
5.045,829,923,27,1
-0.596,476,349,30,0
4.877,1378,758,31,1
0.376,839,614,8,0
5.094,959,1458,26,1
6.042,1112,858,25,0
5.941,1503,989,33,1
1.28,100,546,22,0
7.391,1436,615,31,1
2.427,1179,140,4,0
6.501,1266,961,22,1
5.944,187,485,10,0
5.136,672,802,39,1
4.144,939,1299,23,0
4.95,984,802,34,1
3.452,1036,21,26,0
6.899,1287,667,17,1
2.711,1110,891,24,0
7.501,957,501,21,1
0.591,789,892,12,0
6.142,1033,679,40,1
5.482,1307,999,22,0
5.86,1117,1014,25,1
-0.013,229,850,16,0
9.194,536,1117,24,1
2.569,818,296,22,0
3.862,1076,981,34,1
4.73,803,23,14,0
6.622,687,860,30,1
1.29,458,459,6,0
6.327,1102,804,34,1
4.307,929,398,10,0
5.318,883,926,18,1
0.471,546,823,0,0
5.124,1303,1223,29,1
5.449,1382,640,48,0
5.077,1194,1017,36,1
0.336,899,288,24,0
5.854,842,1074,28,1
2.082,778,799,14,0
5.626,1432,1084,39,1
3.123,779,1180,22,0
7.55,343,868,10,1
2.306,1069,521,17,0
5.019,1147,1108,29,1
2.908,589,432,23,0
6.83,883,1104,35,1
4.63,1212,260,15,0
5.598,1065,885,48,1
3.552,654,885,25,0
5.767,503,1063,38,1
3.685,727,700,22,0
4.968,853,797,32,1
4.836,1406,475,24,0
5.992,1288,1011,30,1
3.155,564,325,23,0
7.13,1064,878,24,1
1.971,350,943,27,0
3.812,626,1045,35,1
1.799,1091,226,17,0
3.968,1198,1092,14,1
1.254,510,1203,32,0
4.898,1572,1203,30,1
3.86,531,667,10,0
4.762,1176,1304,26,1
5.228,356,121,22,0
2.827,802,1247,39,1
3.749,1105,510,22,0
3.947,697,1005,21,1
4.445,1049,587,22,0
4.642,1259,1366,17,1
4.434,312,1064,14,0
6.949,867,891,38,1
2.588,468,844,21,0
5.713,897,1315,32,1
-0.459,250,463,30,0
6.035,1103,856,27,1
8.43,1241,718,31,0
5.264,1080,1342,17,1
2.46,1197,937,22,0
6.569,952,948,27,1
1.634,538,654,20,0
4.465,1300,1151,30,1
4.228,1215,784,36,0
4.114,1232,981,38,1
1.93,245,1505,28,0
3.874,477,653,28,1
5.408,1103,1096,30,0
2.299,1161,986,29,1
3.66,601,443,18,0
6.884,636,822,48,1
1.542,995,603,21,0
6.904,1945,1381,30,1
2.859,951,498,14,0
4.976,1340,1235,32,1
4.08,648,795,7,0
4.406,1356,846,21,1
0.891,734,365,10,0
4.496,1845,1015,32,1
3.822,667,875,3,0
3.893,1512,887,29,1
3.054,1442,540,24,0
7.486,1703,689,33,1
-0.656,962,529,33,0
5.17,1362,1264,37,1
2.808,579,690,24,0
4.777,1176,1305,45,1
1.564,648,868,8,0
8.439,1387,1109,24,1
2.171,776,35,29,0
7.977,1039,1092,34,1
-0.156,1005,618,8,0
4.728,1396,1115,36,1
1.944,783,413,10,0
4.646,902,692,29,1
1.34,753,417,27,0
5.311,1316,418,30,1
5.352,827,632,11,0
5.801,1086,1141,28,1
2.691,207,262,27,0
4.121,1179,311,32,1
4.098,1089,373,15,0
4.989,1317,1019,14,1
4.284,998,961,12,0
3.289,1113,1117,27,1
2.205,544,859,20,0
1.382,1453,1113,30,1
1.122,1222,867,22,0
5.342,1397,757,33,1
3.565,1265,888,3,0
3.407,916,613,20,1
5.721,620,6,27,0
2.414,931,102,8,1
2.905,877,692,32,0
3.008,1455,758,40,1
